bailable,energia,valencia,acustico,instrumental,popularidad,tempo,genero
0.792,0.673,0.784,0.0652,8.47e-05,27,104.996,0
0.678,0.787,0.471,0.147,0.0,63,158.014,0
0.751,0.726,0.581,0.0706,3.42e-06,73,104.914,0
0.572,0.964,0.519,0.0503,0.0,72,129.979,0
0.671,0.859,0.389,0.0323,0.0,68,139.931,0
0.781,0.879,0.836,0.0309,0.0,58,119.997,0
0.565,0.903,0.538,0.0746,0.0,72,97.967,0
0.839,0.902,0.639,0.0868,0.00257,70,114.953,0
0.658,0.87,0.422,0.177,0.0,59,89.994,0
0.782,0.731,0.824,0.0376,3.15e-05,81,138.032,0
0.785,0.744,0.833,0.0149,0.00666,70,126.018,0
0.76,0.887,0.24,0.037,0.0,65,130.018,0
0.719,0.828,0.634,0.0343,0.0,72,139.927,0
0.704,0.787,0.707,0.114,0.0,72,96.929,0
0.734,0.855,0.422,0.00481,0.0,75,126.035,0
0.76,0.672,0.505,0.465,0.0,63,127.986,0
0.616,0.833,0.595,0.315,0.0,70,97.898,0
0.76,0.842,0.882,0.0677,0.000123,66,102.987,0
0.598,0.775,0.687,0.022,0.0,71,129.819,0
0.674,0.91,0.599,0.029,0.0,69,132.04,0
0.709,0.718,0.24,0.059,0.0,66,104.971,0
0.752,0.804,0.795,0.022,1.76e-05,64,146.943,0
0.725,0.94,0.905,0.115,0.00431,66,127.051,0
0.718,0.794,0.751,0.0806,0.0,60,114.285,0
0.58,0.773,0.506,0.656,0.0,67,124.148,0
0.615,0.904,0.692,0.0881,0.0,66,130.047,0
0.75,0.883,0.85,0.226,9.84e-05,61,127.069,0
0.649,0.862,0.594,0.0218,0.0,58,128.051,0
0.64,0.757,0.413,0.0261,0.0,63,104.943,0
0.697,0.897,0.736,0.0323,0.0,57,140.03,0
0.7,0.806,0.616,0.00132,0.0,70,110.016,0
0.832,0.637,0.722,0.0334,0.0,40,103.036,0
0.695,0.921,0.642,0.0733,0.0,55,119.971,0
0.729,0.926,0.743,0.0796,9.14e-06,54,110.05,0
0.791,0.674,0.963,0.168,0.0,63,132.985,0
0.817,0.82,0.422,0.0125,0.0,56,120.012,0
0.797,0.722,0.878,0.356,0.0,60,128.01,0
0.675,0.935,0.451,0.0019,1.31e-06,56,126.083,0
0.737,0.793,0.562,0.385,2.05e-05,42,120.037,0
0.671,0.752,0.635,0.0281,0.0,45,130.02,0
0.672,0.923,0.395,0.102,0.0,54,116.028,0
0.602,0.697,0.395,0.0533,0.000159,30,127.992,0
0.6,0.863,0.223,0.00168,0.00406,24,106.997,0
0.662,0.884,0.484,0.014,3.7e-05,64,128.029,0
0.717,0.702,0.63,0.0467,0.0,49,117.957,0
0.634,0.674,0.298,0.0487,0.00116,10,115.995,0
0.679,0.633,0.589,0.295,0.0,43,120.92,0
0.818,0.76,0.365,0.197,9.39e-05,56,125.055,0
0.689,0.859,0.672,0.108,0.291,61,119.991,0
0.81,0.847,0.63,0.0181,0.738,50,120.004,0
0.618,0.657,0.457,0.00378,0.0179,64,179.913,0
0.688,0.693,0.473,0.0865,0.0,59,114.051,0
0.667,0.921,0.659,0.00566,0.00696,56,103.005,0
0.796,0.772,0.962,0.0469,7.56e-05,38,124.039,0
0.786,0.899,0.951,0.000147,0.0987,30,130.997,0
0.661,0.78,0.623,0.0616,0.0,58,116.025,0
0.696,0.429,0.242,0.0518,0.0,12,149.967,0
0.629,0.727,0.355,0.0447,5.29e-06,48,124.938,0
0.822,0.825,0.507,0.055,0.00661,59,109.993,0
0.809,0.93,0.639,0.271,0.000239,38,125.948,0
0.759,0.925,0.653,0.00155,0.00101,41,123.986,0
0.524,0.806,0.45,0.197,0.0,75,115.172,0
0.68,0.771,0.67,0.0161,0.0,61,122.023,0
0.697,0.928,0.654,0.0158,0.00723,58,124.023,0
0.605,0.565,0.639,0.798,0.0,48,96.181,0
0.852,0.833,0.553,0.0264,0.812,55,125.009,0
0.585,0.525,0.533,0.034,2.6e-05,62,167.811,0
0.683,0.598,0.468,0.21,0.000147,40,109.999,0
0.478,0.633,0.287,0.123,0.0,69,89.909,0
0.638,0.667,0.338,0.327,1.27e-05,54,123.955,0
0.813,0.781,0.811,0.048,0.284,62,120.99,0
0.484,0.806,0.417,0.0447,4.48e-05,38,145.127,0
0.807,0.625,0.494,0.0327,1.93e-05,42,104.011,0
0.733,0.786,0.786,0.0931,0.0013,67,102.999,0
0.421,0.669,0.326,0.151,0.0,70,175.788,0
0.732,0.819,0.793,0.0671,0.0,49,105.046,0
0.44,0.666,0.686,0.0473,5.84e-06,55,76.536,0
0.716,0.664,0.356,0.0163,0.000795,54,101.997,0
0.51,0.71,0.511,0.442,0.00025,62,119.951,0
0.713,0.652,0.386,0.175,0.0151,34,125.994,0
0.713,0.85,0.672,0.14,1.02e-05,55,121.981,0
0.758,0.742,0.648,0.0824,0.0,58,120.964,0
0.543,0.883,0.523,0.0667,8.49e-05,60,157.815,0
0.653,0.69,0.652,0.109,0.0,37,110.214,0
0.74,0.711,0.434,0.00478,0.0849,40,97.963,0
0.71,0.574,0.364,0.102,0.0,54,89.968,0
0.512,0.682,0.598,0.0461,1.46e-05,42,111.967,0
0.81,0.763,0.848,0.247,0.000799,58,118.011,0
0.69,0.687,0.615,0.319,0.0,22,124.921,0
0.501,0.571,0.371,0.0548,0.0,28,188.02,0
0.737,0.81,0.387,0.077,0.0,70,125.005,0
0.876,0.856,0.685,0.0812,1.29e-06,46,121.991,0
0.811,0.601,0.577,0.0973,0.0,63,127.082,0
0.69,0.785,0.889,0.157,3.62e-06,39,102.044,0
0.69,0.616,0.333,0.417,0.0,35,103.018,0
0.645,0.86,0.584,0.0252,0.0,44,147.06,0
0.649,0.782,0.323,0.127,0.0,45,102.023,0
0.79,0.81,0.607,0.0137,0.0,48,120.092,0
0.628,0.755,0.782,0.0951,0.0,57,172.16,0
0.547,0.889,0.449,0.0759,0.0,18,150.031,0
0.609,0.718,0.426,0.6,0.0,72,93.94,0
0.668,0.801,0.753,0.0124,0.00142,51,130.009,0
0.711,0.727,0.465,0.168,0.0,71,180.039,0
0.824,0.714,0.77,0.432,0.0,70,97.035,0
0.626,0.568,0.581,0.629,5.8e-05,56,179.821,0
0.448,0.603,0.422,0.433,0.0,85,205.272,0
0.553,0.209,0.248,0.814,0.0,50,119.592,0
0.393,0.757,0.444,0.465,0.0,57,117.676,0
0.344,0.517,0.136,0.607,0.0,59,80.061,0
0.474,0.308,0.418,0.762,0.0,59,93.343,0
0.614,0.799,0.9,0.0971,0.0,10,174.114,0
0.785,0.905,0.969,0.00803,0.859,51,136.018,0
0.822,0.969,0.765,0.259,0.000162,16,128.007,0
0.65,0.82,0.757,0.0655,0.00274,10,135.982,0
0.649,0.955,0.83,0.0941,0.00899,59,132.993,0
0.744,0.868,0.851,0.0242,0.00211,48,126.99,0
0.768,0.874,0.839,0.117,0.0628,12,124.251,0
0.69,0.805,0.799,0.000232,0.739,56,127.808,0
0.651,0.836,0.628,0.000489,0.794,49,137.048,0
0.793,0.588,0.38,0.28,0.0,50,130.039,0
0.267,0.21,0.288,0.825,0.0,55,194.352,0
0.592,0.931,0.612,0.00551,0.0301,44,130.028,0
0.674,0.908,0.861,0.0714,0.000104,52,127.99,0
0.422,0.621,0.118,0.689,0.00117,35,128.077,0
0.736,0.864,0.763,0.0179,1.62e-05,41,108.828,0
0.639,0.869,0.562,0.00336,0.002,55,133.033,0
0.694,0.941,0.854,0.00224,0.0826,55,125.014,0
0.701,0.979,0.612,0.00328,0.308,61,134.013,0
0.723,0.711,0.661,0.192,5.74e-06,27,104.814,0
0.802,0.671,0.912,0.0233,0.0108,60,103.993,0
0.576,0.828,0.479,0.000223,0.822,45,137.968,0
0.8,0.894,0.967,0.0108,0.437,62,138.48,0
0.661,0.847,0.71,0.225,0.835,60,125.862,0
0.727,0.951,0.774,0.211,0.000701,40,101.078,0
0.668,0.909,0.541,0.000705,0.0448,48,132.865,0
0.763,0.791,0.603,0.0102,0.0743,48,137.948,0
0.701,0.868,0.716,0.0337,0.114,40,141.981,0
0.852,0.864,0.603,0.0334,0.0239,60,132.999,0
0.979,0.792,0.583,0.0025,7.71e-06,70,116.012,0
0.734,0.551,0.505,0.571,1.11e-05,39,99.984,0
0.578,0.631,0.484,0.0156,0.488,57,163.883,0
0.763,0.713,0.668,0.128,0.000623,59,132.993,0
0.753,0.77,0.558,0.0489,0.000397,48,130.977,0
0.547,0.993,0.656,0.00786,0.00119,46,139.886,0
0.758,0.93,0.853,0.0503,0.000226,54,112.042,0
0.591,0.888,0.588,0.00223,0.699,45,132.885,0
0.486,0.904,0.118,0.000748,0.0984,47,143.048,0
0.658,0.96,0.961,0.066,1.38e-05,49,136.005,0
0.798,0.43,0.487,0.0055,0.901,47,140.064,0
0.696,0.806,0.871,0.0631,0.00155,50,127.395,0
0.782,0.874,0.872,0.0027,0.343,50,125.917,0
0.787,0.727,0.936,0.0124,0.0,70,173.025,0
0.669,0.974,0.682,0.0911,0.174,46,135.046,0
0.625,0.917,0.9,0.0136,0.00338,50,137.968,0
0.667,0.999,0.566,0.0726,4.15e-05,48,149.875,0
0.682,0.988,0.649,0.101,0.00105,43,124.051,0
0.565,0.942,0.569,0.00107,0.000393,64,137.972,0
0.759,0.822,0.94,0.00136,0.0167,21,124.713,0
0.607,0.897,0.391,0.177,0.885,57,130.549,0
0.69,0.817,0.285,0.0109,0.00276,51,116.211,0
0.739,0.998,0.259,0.0622,0.922,53,136.513,0
0.559,0.829,0.463,0.00496,0.00597,20,130.532,0
0.757,0.652,0.862,0.214,0.257,57,124.369,0
0.703,0.874,0.939,0.0705,4.84e-06,54,146.987,0
0.676,0.996,0.4,0.0478,0.262,54,132.871,0
